Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.01,0.01,10,20,0.4887
777,0.01,0.001,10,20,0.3627
777,0.001,0.01,10,20,0.5348
777,0.001,0.001,10,20,0.3832
777,0.001,0.01,10,20,0.5348
777,0.001,0.001,10,20,0.3832
777,0.01,0.01,10,30,0.5850
777,0.01,0.001,10,30,0.3637
777,0.001,0.01,10,30,0.6332
777,0.001,0.001,10,30,0.3893
777,0.001,0.01,10,30,0.6332
777,0.001,0.001,10,30,0.3893
777,0.01,0.01,10,50,0.6475
777,0.01,0.001,10,50,0.3709
777,0.001,0.01,10,50,0.6650
777,0.001,0.001,10,50,0.3965
777,0.001,0.01,10,50,0.6650
777,0.001,0.001,10,50,0.3965
777,0.01,0.01,16,20,0.8781
777,0.01,0.001,16,20,0.8791
777,0.001,0.01,16,20,0.8791
777,0.001,0.001,16,20,0.8822
777,0.001,0.01,16,20,0.8791
777,0.001,0.001,16,20,0.8822
777,0.01,0.01,16,30,0.8658
777,0.01,0.001,16,30,0.8760
777,0.001,0.01,16,30,0.8740
777,0.001,0.001,16,30,0.8811
777,0.001,0.01,16,30,0.8740
777,0.001,0.001,16,30,0.8811
777,0.01,0.01,16,50,0.7746
777,0.01,0.001,16,50,0.8791
777,0.001,0.01,16,50,0.8596
777,0.001,0.001,16,50,0.8801
777,0.001,0.01,16,50,0.8596
777,0.001,0.001,16,50,0.8801
777,0.01,0.01,32,20,0.7930
777,0.01,0.001,32,20,0.7182
777,0.001,0.01,32,20,0.8064
777,0.001,0.001,32,20,0.7254
777,0.001,0.01,32,20,0.8064
777,0.001,0.001,32,20,0.7254
777,0.01,0.01,32,30,0.8002
777,0.01,0.001,32,30,0.7275
777,0.001,0.01,32,30,0.8053
777,0.001,0.001,32,30,0.7336
777,0.001,0.01,32,30,0.8053
777,0.001,0.001,32,30,0.7336
777,0.01,0.01,32,50,0.8043
777,0.01,0.001,32,50,0.7326
777,0.001,0.01,32,50,0.8227
777,0.001,0.001,32,50,0.7346
777,0.001,0.01,32,50,0.8227
777,0.001,0.001,32,50,0.7346
777,0.01,0.01,259,20,0.7172
777,0.01,0.001,259,20,0.5584
777,0.001,0.01,259,20,0.7162
777,0.001,0.001,259,20,0.5584
777,0.001,0.01,259,20,0.7162
777,0.001,0.001,259,20,0.5584
777,0.01,0.01,259,30,0.6988
777,0.01,0.001,259,30,0.6014
777,0.001,0.01,259,30,0.6762
777,0.001,0.001,259,30,0.6086
