Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.01,0.01,10,20,0.5260
777,0.01,0.001,10,20,0.5758
777,0.001,0.01,10,20,0.7449
777,0.001,0.001,10,20,0.6934
777,0.001,0.01,10,20,0.7449
777,0.001,0.001,10,20,0.6934
777,0.01,0.01,10,30,0.4697
777,0.01,0.001,10,30,0.5258
777,0.001,0.01,10,30,0.7087
777,0.001,0.001,10,30,0.6912
777,0.001,0.01,10,30,0.7087
777,0.001,0.001,10,30,0.6912
777,0.01,0.01,10,50,0.4567
777,0.01,0.001,10,50,0.5397
777,0.001,0.01,10,50,0.6306
777,0.001,0.001,10,50,0.6564
777,0.001,0.01,10,50,0.6306
777,0.001,0.001,10,50,0.6564
777,0.01,0.01,4,20,0.5499
777,0.01,0.001,4,20,0.3835
777,0.001,0.01,4,20,0.7646
777,0.001,0.001,4,20,0.4594
777,0.001,0.01,4,20,0.7646
777,0.001,0.001,4,20,0.4594
777,0.01,0.01,4,30,0.5754
777,0.01,0.001,4,30,0.3824
777,0.001,0.01,4,30,0.7136
777,0.001,0.001,4,30,0.4748
777,0.001,0.01,4,30,0.7136
777,0.001,0.001,4,30,0.4748
777,0.01,0.01,4,50,0.5061
777,0.01,0.001,4,50,0.4081
777,0.001,0.01,4,50,0.5616
777,0.001,0.001,4,50,0.5115
777,0.001,0.01,4,50,0.5616
777,0.001,0.001,4,50,0.5115
777,0.01,0.01,8,20,0.6412
777,0.01,0.001,8,20,0.6411
777,0.001,0.01,8,20,0.8121
777,0.001,0.001,8,20,0.5673
777,0.001,0.01,8,20,0.8121
777,0.001,0.001,8,20,0.5673
777,0.01,0.01,8,30,0.5716
777,0.01,0.001,8,30,0.7045
777,0.001,0.01,8,30,0.7800
777,0.001,0.001,8,30,0.6057
777,0.001,0.01,8,30,0.7800
777,0.001,0.001,8,30,0.6057
777,0.01,0.01,8,50,0.4230
777,0.01,0.001,8,50,0.6892
777,0.001,0.01,8,50,0.7317
777,0.001,0.001,8,50,0.6972
777,0.001,0.01,8,50,0.7317
777,0.001,0.001,8,50,0.6972
777,0.01,0.01,21,20,0.5599
777,0.01,0.001,21,20,0.8221
777,0.001,0.01,21,20,0.8291
777,0.001,0.001,21,20,0.8409
777,0.001,0.01,21,20,0.8291
777,0.001,0.001,21,20,0.8409
777,0.01,0.01,21,30,0.5002
777,0.01,0.001,21,30,0.7616
777,0.001,0.01,21,30,0.8222
777,0.001,0.001,21,30,0.8412
777,0.001,0.01,21,30,0.8222
777,0.001,0.001,21,30,0.8412
777,0.01,0.01,21,50,0.7577
777,0.01,0.001,21,50,0.6128
777,0.001,0.01,21,50,0.7750
777,0.001,0.001,21,50,0.8390
777,0.001,0.01,21,50,0.7750
777,0.001,0.001,21,50,0.8390
777,0.01,0.01,16,20,0.5988
777,0.01,0.001,16,20,0.3616
777,0.001,0.01,16,20,0.7110
777,0.001,0.001,16,20,0.4522
777,0.001,0.01,16,20,0.7110
777,0.001,0.001,16,20,0.4522
777,0.01,0.01,16,30,0.4453
777,0.01,0.001,16,30,0.3712
777,0.001,0.01,16,30,0.7363
777,0.001,0.001,16,30,0.4453
777,0.001,0.01,16,30,0.7363
777,0.001,0.001,16,30,0.4453
777,0.01,0.01,16,50,0.3981
777,0.01,0.001,16,50,0.4505
777,0.001,0.01,16,50,0.7171
777,0.001,0.001,16,50,0.4645
777,0.001,0.01,16,50,0.7171
777,0.001,0.001,16,50,0.4645
