Seed,LR_G,LR_D,k,stop_epochs,AUC
777,0.01,0.01,10,20,0.7433
777,0.01,0.001,10,20,0.6603
777,0.001,0.01,10,20,0.7280
777,0.001,0.001,10,20,0.6421
777,0.001,0.01,10,20,0.7280
777,0.001,0.001,10,20,0.6421
777,0.01,0.01,10,30,0.7447
777,0.01,0.001,10,30,0.7353
777,0.001,0.01,10,30,0.7297
777,0.001,0.001,10,30,0.6980
777,0.001,0.01,10,30,0.7297
777,0.001,0.001,10,30,0.6980
777,0.01,0.01,10,50,0.7447
777,0.01,0.001,10,50,0.7497
777,0.001,0.01,10,50,0.7306
777,0.001,0.001,10,50,0.7285
777,0.001,0.01,10,50,0.7306
777,0.001,0.001,10,50,0.7285
777,0.01,0.01,7,20,0.7244
777,0.01,0.001,7,20,0.6638
777,0.001,0.01,7,20,0.7614
777,0.001,0.001,7,20,0.7115
777,0.001,0.01,7,20,0.7614
777,0.001,0.001,7,20,0.7115
777,0.01,0.01,7,30,0.7099
777,0.01,0.001,7,30,0.6837
777,0.001,0.01,7,30,0.7561
777,0.001,0.001,7,30,0.7379
777,0.001,0.01,7,30,0.7561
777,0.001,0.001,7,30,0.7379
777,0.01,0.01,7,50,0.7104
777,0.01,0.001,7,50,0.6729
777,0.001,0.01,7,50,0.7518
777,0.001,0.001,7,50,0.7548
777,0.001,0.01,7,50,0.7518
777,0.001,0.001,7,50,0.7548
777,0.01,0.01,14,20,0.6993
777,0.01,0.001,14,20,0.5424
777,0.001,0.01,14,20,0.7139
777,0.001,0.001,14,20,0.5733
777,0.001,0.01,14,20,0.7139
777,0.001,0.001,14,20,0.5733
777,0.01,0.01,14,30,0.7051
777,0.01,0.001,14,30,0.5753
777,0.001,0.01,14,30,0.7309
777,0.001,0.001,14,30,0.6155
777,0.001,0.01,14,30,0.7309
777,0.001,0.001,14,30,0.6155
777,0.01,0.01,14,50,0.7073
777,0.01,0.001,14,50,0.6185
777,0.001,0.01,14,50,0.7392
777,0.001,0.001,14,50,0.6414
777,0.001,0.01,14,50,0.7392
777,0.001,0.001,14,50,0.6414
777,0.01,0.01,57,20,0.8074
777,0.01,0.001,57,20,0.7653
777,0.001,0.01,57,20,0.8104
777,0.001,0.001,57,20,0.7767
777,0.001,0.01,57,20,0.8104
777,0.001,0.001,57,20,0.7767
777,0.01,0.01,57,30,0.8033
777,0.01,0.001,57,30,0.7738
777,0.001,0.01,57,30,0.8091
777,0.001,0.001,57,30,0.7868
777,0.001,0.01,57,30,0.8091
777,0.001,0.001,57,30,0.7868
777,0.01,0.01,57,50,0.8019
777,0.01,0.001,57,50,0.7789
777,0.001,0.01,57,50,0.8081
777,0.001,0.001,57,50,0.8010
777,0.001,0.01,57,50,0.8081
777,0.001,0.001,57,50,0.8010
777,0.01,0.01,128,20,0.8295
777,0.01,0.001,128,20,0.7838
777,0.001,0.01,128,20,0.8263
777,0.001,0.001,128,20,0.7692
777,0.001,0.01,128,20,0.8263
777,0.001,0.001,128,20,0.7692
777,0.01,0.01,128,30,0.8313
777,0.01,0.001,128,30,0.8024
777,0.001,0.01,128,30,0.8363
777,0.001,0.001,128,30,0.7869
777,0.001,0.01,128,30,0.8363
777,0.001,0.001,128,30,0.7869
777,0.01,0.01,128,50,0.8338
777,0.01,0.001,128,50,0.8113
